	PID/THRD  SYSCALL(args) 		 = return
Pre-populating config directory...
Launching Ardour...
Backend path: /Users/harrisgordon/Documents/Development/Audio/ardour/build/libs/backends/coreaudio:/Users/harrisgordon/Documents/Development/Audio/ardour/build/libs/backends/dummy
Data path: /Users/harrisgordon/Documents/Development/Audio/ardour/build/gtk2_ardour:/Users/harrisgordon/Documents/Development/Audio/ardour/gtk2_ardour
--- Ardour Environment Loaded ---
84803/0x1238a14:  fork()		 = 0 Err#1
84806/0x1238a1f:  fork()		 = 0 0
84807/0x1238a20:  fork()		 = 0 0
84808/0x1238a21:  fork()		 = 0 0
84808/0x1238a22:  fork()		 = 0 0
84809/0x1238a23:  fork()		 = 0 0
84810/0x1238a24:  fork()		 = 0 0
84811/0x1238a25:  fork()		 = 0 0
84812/0x1238a26:  fork()		 = 0 0
84811/0x1238a27:  fork()		 = 0 0
84812/0x1238a29:  fork()		 = 0 0
84810/0x1238a28:  fork()		 = 0 0
84813/0x1238a2a:  fork()		 = 0 0
84813/0x1238a2b:  fork()		 = 0 0
84814/0x1238a2c:  fork()		 = 0 0
84814/0x1238a2d:  fork()		 = 0 0
84815/0x1238a2e:  fork()		 = 0 0
84815/0x1238a2f:  fork()		 = 0 0
84803/0x1238a30:  fork()		 = 0 0

